OBJECTID,Year,State,Agency,Unit ID,Fire Name,Local Incident Number,Alarm Date,Containment Date,Cause,Collection Method,Management Objective,GIS Calculated Acres,Comments,Complex Name,IRWIN ID,Fire Number (historical use),Complex ID,DECADES,Shape__Area,Shape__Length
1576,2020,CA,CDF,AEU,GRANT,00016543,6/12/2020 7:00:00 AM,6/12/2020 7:00:00 AM,2,1,1,5062.198,,,{A2E9EF53-43C2-4BBE-9CEF-DDF85A481D7A},,,2020-January 2025,33560841.7539063,31944.6719386229
32,2024,CA,USF,SHF,SHOE,00000996,10/9/2024 7:00:00 AM,11/16/2024 8:00:00 AM,9,3,1,5124.031,"12 miles SW of Big Bend, CA in Sulanharas Creek Drainage",,{4271D7E5-3765-4D9A-A492-205DE510D51F},,,2020-January 2025,36359824.5585938,53634.28376337
31,2024,CA,CDF,RRU,NIXON,00115141,7/29/2024 7:00:00 AM,8/7/2024 7:00:00 AM,11,3,1,5221.287,,,{9DA145D8-6710-46BD-A9B1-AD879BCF7801},,,2020-January 2025,30436774,42148.2364847187
851,2022,CA,CCO,LAC,ROUTE,00294803,8/31/2022 7:00:00 AM,9/7/2022 7:00:00 AM,14,7,1,5227.923,,,{E27C88E9-90B0-4557-8DB3-3ED1232D95A0},,,2020-January 2025,31259236.4570313,32350.6960298258
565,2023,CA,CCO,KRN,ALMOND,23-36511,8/6/2023 7:00:00 AM,8/7/2023 7:00:00 AM,14,1,1,5228.871,,,{8BF47465-2934-439A-B5D2-36047256714F},,,2020-January 2025,32043957.1210938,45656.0660909036
30,2024,CA,CDF,TCU,AERO,00007675,6/17/2024 7:00:00 AM,6/27/2024 7:00:00 AM,2,2,1,5284.863,,,{6893119a-7907-41a6-9c1f-8390284d459e},,,2020-January 2025,34497556.71875,38650.6678623788
1165,2021,CA,CDF,MVU,SOUTHERN,00007992,5/2/2021 7:00:00 AM,5/6/2022 7:00:00 AM,2,7,1,5365.902,Power tools,,{4F0C331F-A20F-4949-8CBE-4F2717DD02DA},,,2020-January 2025,30944913.9375,55683.4880261368
1575,2020,CA,CDF,SCU,CREWS,00004686,7/5/2020 7:00:00 AM,7/15/2020 7:00:00 AM,8,2,1,5513.191,,,{5D075A6A-350E-497F-B977-A6DCF275B2EC},,,2020-January 2025,35060829.5039063,45170.9785570476
29,2024,CA,CCO,KRN,WHITE,02431252,7/13/2024 7:00:00 AM,7/26/2024 7:00:00 AM,14,1,1,5562.288,,,{6B5429B8-6A74-40AA-B872-7C6CB7BC841D},,,2020-January 2025,33599896.5078125,52413.0180713813
564,2023,CA,CCO,SBC,PLANT,00011307,8/19/2023 7:00:00 AM,8/31/2023 7:00:00 AM,11,3,1,5761.521,FIRIS INTEL 12,,{B31604C4-AC56-47F4-85A8-222B39107AC5},,,2020-January 2025,34771286.984375,52880.1507570325
850,2022,CA,USF,MDF,BARNES,00000896,9/7/2022 7:00:00 AM,11/1/2022 7:00:00 AM,1,7,1,5840.575,,,{0AA067F2-E9B8-426B-BBDE-F9DC2A00A95F},,,2020-January 2025,42656929.6679688,64728.5560528281
849,2022,CA,BIA,CRA,LOST LAKE,00000528,5/26/2022 7:00:00 AM,6/5/2022 7:00:00 AM,14,7,,5856.573,,,{6982B546-8980-4FF2-B71B-A6D54A74689E},,,2020-January 2025,34585556.4335938,41912.4240991908
